Description,TotalSalesDollars,ProfitMargin
Ch Clerc Milon 10,755.9399999999999,65.98539566632272
Ch Clerc Milon 12 Pauillac,349.95,74.0248606943849
Ch Clerc Milon Pauillac 11,455.94,88.50506645611263
Ch Clinet 10 Brdx,1574.93,52.382010629043826
Ch Clos Fourtet 12 St-Emilin,2599.739999999999,71.6044681391216
Ch Corconnac Svgn Bl,4869.9699999999975,85.73789982279149
Ch Croix de Jaugue St Emilio,5298.209999999984,18.722172205329464
Ch D'Issan 10 Brdx,4913.61,91.67516347451262
Ch Doisy Daene Gr Vin Sec 10,463.84,1.948947913073466
Ch Doisy Daene Sauternes 10,813.89,31.97729422894986
Ch Doisy-Daene Sauternes 11,539.82,88.81293764588196
Ch Donjon Minervois Rose,559.6500000000001,77.14285714285715
Ch Ducru Beaucaillau St-Juli,2001.8700000000001,9.814323607427058
Ch Ducru Beaucaillou 11 Jul,1049.93,71.80383454135038
Ch Dupray St-Emilion,1319.3400000000001,22.997862567647473
Ch Floreal Laguens Brdx,2534.169999999999,71.62384528267637
Ch Fonroque St Emilion 10,51.99,35.06443546835931
Ch Fontenil Fronsac 10,539.88,37.63243683781582
Ch Francs Brdx CdFrancs,8596.939999999959,28.47455024694801
Ch Fuisse Pouilly Fuisse 12,1399.72,97.55379647358043
Ch Fuisse Pouilly Fuisse Les,323.94,31.042785701055752
Ch Fuisse Pouilly Fuisse Tet,2807.2200000000003,83.20117411531693
Ch Giscours 10,901.8899999999999,87.95862023084855
Ch Giscours Margaux 06,804.77,30.424841880288785
Ch Giscours Margaux 11 Gr Cr,895.86,76.50302502623177
Ch Giscours Margaux 12,3285.4699999999993,47.868645886281094
Ch Gloria St Julien 12,1979.4500000000003,85.74149384930158
Ch Godeau St Emilion 10 Cru,125.97,77.16916726204651
Ch Grand Leoville 10 Brdx,6109.870000000001,17.397915176591326
Ch Grand Puy-Lacoste 12 Paul,224.96999999999997,77.92594568164644
Ch Graves de Pez St Estephe,2369.209999999999,89.66744188991265
Ch Gruaud Larose 11 St Julin,1119.86,46.18166556533851
Ch Haut Beausejour 11 Esteph,593.7800000000001,90.91077503452458
Ch Haut Gravet Saint-Emillon,4998.749999999994,97.40235058764691
Ch Haut Marbuzet St Estephe,328.93,44.693399811510055
